"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"213","2.90737923","0.00425849","0.34395238","0.0177305","48","6","false","RASSF1","20.27083333","48","0","0","0.7615776","false","0","RASSF1","1649282","0.0319807"
"215","3.05230126","0.00104548","0.32762166","0.07142857","8","6","false","BAG6","145.625","8","0","0","0.74346234","false","0","BAG6","396844","0.15041494"
"217","2.29802206","0.16703656","0.43515683","0.00347317","722","4","false","HSP90AA1","10.20775623","722","0","0","0.83774724","false","0","HSP90AA1","90689730","0.00368208"
"219","2.76702168","0.00112421","0.36139941","0.25490196","18","6","false","PIN1","178.61111111","18","0","0","0.77912229","false","0","PIN1","823430","0.08609236"
"221","2.97033092","3.7239E-4","0.33666282","0.16666667","9","6","false","VIM","175.22222222","9","0","0","0.75370863","false","0","VIM","298618","0.14586229"
"223","2.76511982","7.6398E-4","0.36164798","0.33333333","9","6","false","SMARCA2","307.11111111","9","0","0","0.77936002","false","0","SMARCA2","1106192","0.1498103"
"225","2.67820464","0.0024632","0.37338446","0.13768116","24","5","false","YWHAZ","140.95833333","24","0","0","0.79022442","false","0","YWHAZ","1714836","0.06373548"
"227","3.02339293","3.6434E-4","0.33075423","0.1","5","6","false","ACLY","253.8","5","0","0","0.74707588","false","0","ACLY","352084","0.21922078"
"230","3.33339673","6.867E-5","0.29999429","0.33333333","3","6","false","MYCN","140.66666667","3","0","0","0.70832541","false","0","MYCN","15366","0.34908789"
"232","2.86287562","5.0934E-4","0.34929914","0.14285714","7","6","false","EWSR1","270.57142857","7","0","0","0.76714055","false","0","EWSR1","713982","0.17449045"
"234","3.45378471","1.215E-5","0.28953744","0.0","2","6","false","FIP1L1","138.5","2","0","0","0.69327691","false","0","FIP1L1","6070","0.5130597"
"236","2.9748954","3.3364E-4","0.33614627","0.2","5","6","false","GEMIN4","339.4","5","0","0","0.75313808","false","0","GEMIN4","529930","0.23122018"
"238","3.09661468","1.2618E-4","0.3229333","0.0","5","6","false","SMN1","143.8","5","0","0","0.73792316","false","0","SMN1","85720","0.2245283"
"240","3.44351464","4.201E-5","0.29040097","0.0","3","6","false","FIBP","110.66666667","3","0","0","0.69456067","false","0","FIBP","18662","0.34486373"
"242","3.10669456","1.7707E-4","0.32188552","0.33333333","4","6","false","HSD17B4","278.0","4","0","0","0.73666318","false","0","HSD17B4","47228","0.26939864"
"244","3.17706352","4.487E-5","0.31475606","0.33333333","3","5","false","MAP2K5","336.33333333","3","0","0","0.72786706","false","0","MAP2K5","22224","0.35220126"
"246","3.05572461","1.3162E-4","0.32725462","0.1","5","6","false","POLR2B","233.0","5","0","0","0.74303442","false","0","POLR2B","90694","0.22324688"
"248","3.05762647","2.4213E-4","0.32705107","0.0","4","6","false","SF3A1","298.5","4","0","0","0.74279669","false","0","SF3A1","297206","0.27119417"
"250","3.47185242","0.0","0.28803068","0.0","1","6","false","GSKIP","243.0","1","0","0","0.69101845","false","0","GSKIP","0","0.0"
"252","3.47185242","0.0","0.28803068","0.0","1","6","false","XPO6","243.0","1","0","0","0.69101845","false","0","XPO6","0","0.0"
"254","3.17687334","2.1099E-4","0.3147749","0.0","4","6","false","FUS","252.25","4","0","0","0.72789083","false","0","FUS","197396","0.26559197"
"257","3.47185242","0.0","0.28803068","0.0","1","6","false","NIN","243.0","1","0","0","0.69101845","false","0","NIN","0","0.0"
"259","2.30600989","0.15439003","0.43364948","0.00336684","714","5","false","MYC","10.5","714","0","0","0.83674876","false","0","MYC","107152434","0.00386974"
"261","3.07531381","3.925E-4","0.32517007","0.14285714","8","6","false","TLE1","129.0","8","0","0","0.74058577","false","0","TLE1","173216","0.15349045"
"263","2.72974515","0.0044462","0.36633456","0.04761905","78","6","false","CCNE1","34.28205128","78","0","0","0.78378186","false","0","CCNE1","2416674","0.02325195"
"265","2.83777102","0.02129436","0.35238925","0.00413943","136","6","false","APC","10.77941176","136","0","0","0.77027862","false","0","APC","11783478","0.01350195"
"267","2.53556485","0.03640407","0.39438944","0.0138424","240","5","false","NFKB1","20.14583333","240","0","0","0.80805439","false","0","NFKB1","19925584","0.00913276"
"269","3.02073032","1.9007E-4","0.33104577","0.14285714","8","6","false","RELB","138.5","8","0","0","0.74740871","false","0","RELB","141034","0.15625"
"271","2.82712058","3.8449E-4","0.35371678","0.22222222","10","5","false","MAP3K1","215.0","10","0","0","0.77160993","false","0","MAP3K1","470466","0.13165952"
"273","2.66869532","0.00221355","0.37471494","0.24761905","15","6","false","DNMT1","230.06666667","15","0","0","0.79141308","false","0","DNMT1","2076014","0.09676062"
"277","2.5810194","0.00842114","0.38744381","0.0465559","108","6","false","NCOA3","39.99074074","108","0","0","0.80237258","false","0","NCOA3","3914382","0.01822175"
"279","2.80639026","0.00180634","0.35632963","0.10833333","16","5","false","COPS5","138.5","16","0","0","0.77420122","false","0","COPS5","629582","0.08519575"
"281","2.67706352","0.00183625","0.37354362","0.18681319","14","6","false","PPP1CA","232.21428571","14","0","0","0.79036706","false","0","PPP1CA","1915448","0.10142982"
"283","2.66432103","0.01424241","0.37533014","0.02548726","116","5","false","PTK2","25.95689655","116","0","0","0.79195987","false","0","PTK2","5499406","0.01507988"
"285","2.63579308","0.00487703","0.37939245","0.12802276","38","6","false","RELA","119.60526316","38","0","0","0.79552587","false","0","RELA","3170598","0.0466227"
"287","2.95568657","1.8484E-4","0.33833087","0.33333333","7","6","false","RBPJ","220.28571429","7","0","0","0.75553918","false","0","RBPJ","184918","0.17250252"
"289","2.75465957","0.00533217","0.36302126","0.0275762","53","5","false","AKT2","35.50943396","53","0","0","0.78066755","false","0","AKT2","1532272","0.02632701"
"291","2.80220616","0.00264305","0.35686168","0.0454902","51","6","false","PPARGC1A","36.0","51","0","0","0.77472423","false","0","PPARGC1A","1470752","0.0318737"
"293","2.65271967","0.00766872","0.37697161","0.02939959","70","5","false","SREBF1","43.01428571","70","0","0","0.79341004","false","0","SREBF1","3210348","0.02389786"
"295","3.29288703","0.0","0.30368488","1.0","2","6","false","CSDA","215.0","2","0","0","0.71338912","false","0","CSDA","0","0.53482587"
"297","2.77615063","3.838E-4","0.360211","0.25757576","12","5","false","FBXW7","214.91666667","12","0","0","0.77798117","false","0","FBXW7","426304","0.11353231"
"299","2.79954355","6.353E-4","0.35720109","0.0989011","14","6","false","SMAD2","157.5","14","0","0","0.77505706","false","0","SMAD2","450242","0.09515152"
"301","2.63179916","0.0020942","0.3799682","0.17753623","24","6","false","SMAD3","159.25","24","0","0","0.7960251","false","0","SMAD3","1499982","0.06623665"
